SCHOOL,% PASSED
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS- TACLOBAN,100.00%
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,6.67%
ABRA VALLEY COLLEGE,0.00%
ADAMSON UNIVERSITY,47.15%
AKLAN CATHOLIC COLLEGE-(FOR AKLAN COLLEGE)-KALIBO,0.00%
AKLAN STATE UNIVERSITY-KALIBO,57.89%
ALDERSGATE COLLEGE,14.29%
ANDRES BONIFACIO COLLEGE,30.26%
ANDRES BONIFACIO MEMORIAL SCHOOL OF MIDWIFERY,11.11%
ANGELES UNIVERSITY FOUNDATION,56.25%
ANTIPOLO SCHOOL OF NURSING & MIDWIFERY,100.00%
APAYAO STATE COLLEGE- CONNER,20.00%
AQUINAS UNIVERSITY,31.03%
ARAULLO UNIVERSITY,50.00%
ASIA PACIFIC COLLEGE OF ADVANCED STUDIES,7.14%
ASIAN DEVELOPMENT FOUNDATION COLLEGE,27.27%
ATENEO DE DAVAO UNIVERSITY,94.59%
ATENEO DE NAGA UNIVERSITY,73.77%
AURORA STATE COLLEGE OF TECHNOLOGY,36.00%
BAGUIO CENTRAL UNIVERSITY,13.21%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),33.33%
BAPTIST BIBLE SEMINARY & INSTITUTE,0.00%
BATAAN HEROES MEMORIAL COLLEGE,18.75%
BATAAN PENINSULA STATE U- MAIN CAMPUS(FOR BNSAT),25.93%
BATAAN PENINSULA STATE UNIVERSITY-BALANGA,0.00%
BATANGAS STATE UNIVERSITY - ALANGILAN,61.87%
BICOL STATE COLLEGE OF APPLIED SCIENCES AND TECH- (FOR CSPC),0.00%
BICOL UNIVERSITY IND'L TECH.(BUCIT)-LEGAZPI,40.00%
BICOL UNIVERSITY-DARAGA,0.00%
BICOL UNIVERSITY-LEGAZPI,52.90%
BOHOL INSTITUTE OF TECHNOLOGY-TAGBILARAN CITY,25.00%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- TAGBILARAN,82.19%
"BRENT SCHOOLS, INC.-BAGUIO CITY",0.00%
BUENAVISTA COMMUNITY COLLEGE,0.00%
BULACAN PUBLIC COLLEGE,100.00%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,63.64%
CAGAYAN DE ORO COLLEGE,70.83%
CAGAYAN STATE UNIVERSITY- TUGUEGARAO,54.68%
CAMARINES NORTE STATE COLLEGE-DAET,75.93%
CAMARINES NORTE STATE COLLEGE-MERCEDES,100.00%
CAMARINES SUR POLYTECHNIC COLLEGE-NABUA,58.95%
CAPITOL UNIVERSITY (for.CAGAYAN CAPITOL COLL.),28.57%
CAPIZ STATE UNIVERSITY (CIT)(PSPC)-MAIN CAMPUS,74.19%
CARLOS A. HILADO MEMORIAL STATE COLLEGE-TALISAY,96.08%
CATANDUANES STATE UNIVERSITY - VIRAC,63.33%
CATANDUANES STATE UNIVERSITY-PANGANIBAN,50.00%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),55.22%
CEBU INSTITUTE OF TECHNOLOGY - UNIVERSITY,57.80%
CEBU TECHNOLOGICAL UNIVERSITY-DANAO (for.CSCST),40.00%
CEBU TECHNOLOGICAL UNIVERSITY-MAIN (for.CSCST),69.01%
CEBU TECHNOLOGICAL UNIVERSITY-TUBURAN (for.CSCST),75.00%
CENTRAL COLLEGES OF THE PHILIPPINES,24.14%
CENTRAL LUZON STATE UNIVERSITY,46.34%
CENTRAL MINDANAO COLLEGES,9.09%
CENTRAL MINDANAO UNIVERSITY,63.79%
CENTRAL PHILIPPINE UNIVERSITY,53.19%
CENTRO ESCOLAR UNIVERSITY- MAKATI,0.00%
COLEGIO DE DAGUPAN (for.COMPUTRONIX COLL),22.73%
COLEGIO DE LA PURISIMA CONCEPCION,15.15%
COLEGIO DE SAN ANTONIO DE PADUA,0.00%
COLEGIO DE SAN JUAN DE LETRAN-INTRAMUROS,70.59%
"COLEGIO DE SEBASTIAN- PAMPANGA, INC - PAMPANGA",0.00%
COLEGIO SAN AGUSTIN-BACOLOD CITY,52.38%
COLLEGE OF THE IMMACULATE CONCEPTION-CABANATUAN,0.00%
COLUMBAN COLLEGE-OLONGAPO CITY,48.53%
COR JESU COLLEGE (HOLY CROSS OF DIGOS),45.71%
COTABATO CITY CENTRAL COLLEGE,0.00%
COTABATO CITY STATE POLYTECHNIC COLLEGE,13.87%
DAVAO ORIENTAL STATE COLLEGE OF SCIENCE & TECHNOLOGY,38.24%
DE LA SALLE UNIVERSITY- DASMARIÑAS,78.18%
DE LA SALLE UNIVERSITY-MANILA,72.50%
DIVINE WORD COLLEGE OF CALAPAN,56.67%
DIVINE WORD COLLEGE OF LAOAG,30.43%
DIVINE WORD COLLEGE OF LEGAZPI,30.65%
DIVINE WORD UNIVERSITY- TACLOBAN,0.00%
DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY,42.86%
DON JOSE ECLEO MEMORIAL EDUCATIONAL FOUNDATION,0.00%
EASTERN SAMAR STATE UNIVERSITY - BORONGAN,26.19%
EASTERN SAMAR STATE UNIVERSITY - GUIUAN CAMPUS,34.38%
EASTERN VISAYAS STATE UNIV. (for. L.I.T.)-ORMOC CAMPUS,22.37%
EASTERN VISAYAS STATE UNIV. (for. L.I.T.)-TANAUAN CAMPUS,7.69%
EASTERN VISAYAS STATE UNIVERSITY (for.L.I.T.)TACLOBAN,51.19%
EMILIO AGUINALDO COLLEGE- DASMARIÑAS,37.50%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,18.31%
FAR EASTERN UNIVERSITY- MANILA,44.44%
FATHER SATURNINO URIOS UNIVERSITY (URIOS COLL),29.63%
FEATI UNIVERSITY,11.11%
FELLOWSHIP BAPTIST COLLEGE,26.32%
FEU-INSTITUTE OF TECHNOLOGY(FOR. FEU-EAST ASIA COLL),55.34%
FLORENCIO L. VARGAS COLLEGE- TUGUEGARAO,28.57%
FOREIGN UNIVERSITY,100.00%
GARCIA COLLEGE OF TECHNOLOGY,46.34%
GLOBAL COMPUTER INFO-TECH SCHOOL,100.00%
GUAGUA NATIONAL COLLEGES,34.78%
HOLY ANGEL UNIVERSITY,56.77%
HOLY NAME UNIVERSITY (for.DIVINE WORD-TAGBILARAN),92.00%
HOLY TRINITY COLLEGE OF PUERTO PRINCESA,21.05%
IFUGAO STATE UNIVERSITY (for. IFUGAO SCAF)-LAGAWE,6.25%
ILOCOS NORTE AGRICULTURAL COLLEGE,100.00%
ILOILO STATE COLLEGE OF FISHERIES-DINGLE,33.33%
IMMACULATE HEART OF MARY SEMINARY-UBAY,0.00%
INTERNATIONAL SCHOOL OF ASIA & THE PACIFIC-TABUK BRANCH,12.50%
ISABELA STATE UNIVERSITY- ECHAGUE,40.32%
ISABELA STATE UNIVERSITY- ILAGAN,65.12%
JOHN PAUL COLLEGE,21.43%
JOSE MARIA COLLEGE,12.50%
JOSE RIZAL MEMORIAL STATE COLLEGE-RIZAL,0.00%
JOSE RIZAL MEMORIAL STATE UNIVERSITY-DAPITAN,15.00%
JOSE RIZAL MEMORIAL STATE UNIVERSITY-SIOCON CAMPUS,0.00%
JOSEFINA H. CERILLES STATE COLLEGE-MAIN-MATI(JHCPC),75.00%
KALINGA STATE UNIVERSITY(FOR KALINGA APAYAO STATE COLL),21.82%
LA SALLE UNIVERSITY (for.IMMA.CONCEPCION-LA SALLE),22.58%
LAGUNA COLLEGE,59.09%
LAGUNA STATE POLYTECHNIC UNIV-STA CRUZ (LSPC),32.90%
LEYTE INSTITUTE OF TECHNOLOGY (for.OCSAT),0.00%
LICEO DE CAGAYAN UNIVERSITY,29.41%
LUZONIAN UNIVERSITY FOUNDATION-LUCENA CITY,0.00%
LYCEUM NORTHWESTERN UNIV- DAGUPAN CITY,6.67%
LYCEUM OF APARRI,14.71%
"LYCEUM OF THE PHILIPPINES - GEN TRIAS, CAVITE",41.18%
LYCEUM OF THE PHILIPPINES- LAGUNA (for.LYCEUM INST.OF TECH),54.17%
MAHARDIKA INSTITUTE OF TECHNOLOGY,0.00%
MALAYAN COLLEGES LAGUNA,61.29%
MANUEL L. QUEZON UNIVERSITY,11.11%
MANUEL S. ENVERGA UNIV. FOUNDATION-LUCENA CITY,22.54%
MAPUA INSTITUTE OF TECHNOLOGY-MANILA,68.55%
MARIANO MARCOS STATE UNIVERSITY-BATAC,58.16%
MARINDUQUE STATE COLLEGE- BOAC,43.97%
MINDANAO INSTITUTE OF TECHNOLOGY,0.00%
MINDANAO POLYTECHNIC STATE COLLEGE (DMMMPSC),0.00%
MINDANAO STATE UNIVERSITY- GEN. SANTOS CITY,67.50%
MINDANAO STATE UNIVERSITY- ILIGAN INSTITUTE OF TECHNOLOGY,58.54%
