SCHOOL,% PASSED
ADAMSON UNIVERSITY,43.75%
AKLAN STATE UNIVERSITY-KALIBO,0.00%
AQUINAS UNIVERSITY,17.65%
ARAULLO UNIVERSITY,0.00%
ATENEO DE DAVAO UNIVERSITY,92.31%
"BATAAN PENINSULA STATE UNIVERSITY-BALANGA (for.BATAAN
P.S)",47.37%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),43.75%
BICOL UNIVERSITY-LEGAZPI,60.66%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)-TAGBILARAN,50.00%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,57.14%
CAGAYAN DE ORO COLLEGE,29.41%
CAMARINES SUR POLYTECHNIC COLLEGES(BICAT)-NAGA,71.43%
CAPIZ STATE UNIVERSITY (CIT)(PSPC)-MAIN CAMPUS,28.57%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),60.00%
CEBU INSTITUTE OF TECHNOLOGY,40.54%
CENTRAL COLLEGES OF THE PHILIPPINES,27.27%
COLUMBAN COLLEGE-OLONGAPO CITY,30.00%
DE LA SALLE UNIVERSITY- DASMARIÑAS,70.59%
DIVINE WORD COLLEGE OF LAOAG,66.67%
DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY,32.76%
EASTERN VISAYAS STATE UNIVERSITY (for.L.I.T.)TACLOBAN,44.44%
"EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE &
TECHNOLOGY",38.10%
FAR EASTERN UNIVERSITY-MANILA,34.91%
FEATI UNIVERSITY,0.00%
FOUNDATION UNIVERSITY,0.00%
HOLY ANGEL UNIVERSITY,87.50%
LA CONSOLACION COLLEGE- BACOLOD CITY,22.22%
LYCEUM NORTHWESTERN-DAGUPAN CITY,0.00%
MANUEL L. QUEZON UNIVERSITY,20.83%
MANUEL S. ENVERGA UNIV. FOUNDATION-LUCENA CITY,28.57%
MAPUA INSTITUTE OF TECHNOLOGY- MANILA,67.74%
MINDANAO POLYTECHNIC STATE COLLEGE (DMMMPSC),100.00%
MINDANAO UNIVERSITY OF SCIENCE & TECHNOLOGY-CDO,78.57%
MINDANAO UNIVERSITY OF SCIENCE AND TECHNOLOGY,100.00%
NATIONAL UNIVERSITY-MANILA,31.25%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-DUMAGUETE,66.67%
NORTHWESTERN UNIVERSITY,25.00%
"NOTRE DAME OF DADIANGAS UNIVERSITY, INC",28.57%
NOTRE DAME OF MARBEL UNIVERSITY,0.00%
"NUEVA ECIJA UNIVERSITY OF
SCIENCE & TECHNOLOGY- CABANATUAN)",0.00%
PALAWAN STATE UNIVERSITY-P. PRINCESA,33.33%
PAMANTASAN NG LUNGSOD NG MAYNILA,86.36%
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-MAIN-STA. MESA,65.57%
RIZAL TECHNOLOGICAL UNIVERSITY,57.14%
SAINT JOSEPH INSTITUTE OF TECHNOLOGY,60.00%
SAINT LOUIS COLLEGE OF SAN FERNANDO,83.33%
SAINT LOUIS UNIVERSITY,80.65%
SAINT MARY'S UNIVERSITY,55.56%
SORSOGON STATE COLLEGE- SORSOGON,42.86%
SURIGAO EDUCATION CENTER,0.00%
TARLAC STATE UNIVERSITY  (TARLAC COLLEGE OF TECH.),59.09%
TECHNOLOGICAL INSTITUTE OF THE PHILIPPINES-MANILA,40.00%
TECHNOLOGICAL INSTITUTE OF THE PHILIPPINES-QUEZON CITY,45.61%
TECHNOLOGICAL UNIVERSITY OF THE PHILIPPINES-MANILA,65.45%
UNIVERSITY OF BAGUIO,50.00%
UNIVERSITY OF BOHOL,38.46%
UNIVERSITY OF LUZON (LUZON COLL.),0.00%
UNIVERSITY OF MINDANAO-DAVAO CITY,34.69%
UNIVERSITY OF NORTHEASTERN PHILIPPINES,0.00%
UNIVERSITY OF NORTHERN PHILIPPINES-VIGAN,50.00%
UNIVERSITY OF NUEVA CACERES,22.22%
UNIVERSITY OF PANGASINAN,25.00%
UNIVERSITY OF SAINT ANTHONY,16.67%
UNIVERSITY OF SAINT LOUIS- TUGUEGARAO,65.00%
UNIVERSITY OF SAN AGUSTIN,40.63%
UNIVERSITY OF SAN CARLOS,85.71%
UNIVERSITY OF SANTO TOMAS,73.79%
UNIVERSITY OF SOUTHERN PHILIPPINES,0.00%
UNIVERSITY OF THE ASSUMPTION,10.00%
UNIVERSITY OF THE CORDILLERAS (for.BAGUIO C.F.),58.33%
UNIVERSITY OF THE PHILIPPINES- DILIMAN,100.00%
UNIVERSITY OF THE PHILIPPINES- MINDANAO,100.00%
UNIVERSITY OF THE VISAYAS-CEBU CITY,27.27%
WESTERN MINDANAO STATE U- ZAMBOANGA CITY,42.86%
WESTERN VISAYAS COLLEGE OF SCIENCE & TECHNOLOGY-LA PAZ,52.63%
